Category,Start time,End time
Screen ,2015-10-03 19:30:26,
Screen ,2015-10-03 19:08:30,2015-10-03 19:08:39
Screen ,2015-10-03 18:57:00,2015-10-03 19:03:19
Screen ,2015-10-03 18:44:01,2015-10-03 18:45:13
Screen ,2015-10-03 18:32:02,2015-10-03 18:35:24
Screen ,2015-10-03 18:31:54,2015-10-03 18:32:02
Screen ,2015-10-03 18:24:28,2015-10-03 18:29:11
Screen ,2015-10-03 18:14:35,2015-10-03 18:14:50
Screen ,2015-10-03 18:14:34,2015-10-03 18:14:35
Screen ,2015-10-03 18:13:44,2015-10-03 18:14:27
Screen ,2015-10-03 18:02:35,2015-10-03 18:02:50
Screen ,2015-10-03 18:02:29,2015-10-03 18:02:35
Screen ,2015-10-03 17:41:49,2015-10-03 17:46:17
Screen ,2015-10-03 17:41:45,2015-10-03 17:41:46
Screen ,2015-10-03 17:03:16,2015-10-03 17:03:24
Screen ,2015-10-03 17:00:42,2015-10-03 17:01:06
Screen ,2015-10-03 16:45:56,2015-10-03 16:51:39
Screen ,2015-10-03 16:44:20,2015-10-03 16:45:18
Screen ,2015-10-03 16:43:44,2015-10-03 16:43:53
Screen ,2015-10-03 16:32:02,2015-10-03 16:32:23
Screen ,2015-10-03 16:30:46,2015-10-03 16:31:17
Screen ,2015-10-03 15:56:11,2015-10-03 15:57:30
Screen ,2015-10-03 14:20:27,2015-10-03 14:20:33
Home ,2015-10-03 14:12:25,
Driving,2015-10-03 13:59:17,2015-10-03 14:10:15
Screen ,2015-10-03 13:41:35,2015-10-03 13:43:02
Screen ,2015-10-03 13:40:51,2015-10-03 13:41:33
Screen ,2015-10-03 13:25:46,2015-10-03 13:28:06
Driving,2015-10-03 13:23:36,2015-10-03 13:36:51
Screen ,2015-10-03 13:16:58,2015-10-03 13:17:45
Sportrock,2015-10-03 12:11:31,2015-10-03 13:17:08
Screen ,2015-10-03 12:11:24,2015-10-03 12:12:48
Driving,2015-10-03 11:57:31,2015-10-03 12:08:29
Screen ,2015-10-03 11:55:23,2015-10-03 11:56:17
Screen ,2015-10-03 11:55:06,2015-10-03 11:55:07
Screen ,2015-10-03 11:35:59,2015-10-03 11:36:04
Screen ,2015-10-03 11:25:11,2015-10-03 11:33:22
Screen ,2015-10-03 11:09:42,2015-10-03 11:09:48
Home ,2015-10-03 11:05:20,2015-10-03 11:58:39
Driving,2015-10-03 11:00:07,2015-10-03 11:03:47
Screen ,2015-10-03 10:58:54,2015-10-03 10:59:01
Screen ,2015-10-03 10:58:42,2015-10-03 10:58:50
Screen ,2015-10-03 10:57:00,2015-10-03 10:57:13
Screen ,2015-10-03 10:55:15,2015-10-03 10:55:35
Screen ,2015-10-03 10:54:17,2015-10-03 10:54:27
Screen ,2015-10-03 10:52:54,2015-10-03 10:53:19
Screen ,2015-10-03 10:49:16,2015-10-03 10:49:32
Screen ,2015-10-03 10:48:04,2015-10-03 10:48:15
Screen ,2015-10-03 10:45:12,2015-10-03 10:45:18
Screen ,2015-10-03 10:43:12,2015-10-03 10:43:27
Screen ,2015-10-03 10:40:39,2015-10-03 10:41:07
Screen ,2015-10-03 10:39:29,2015-10-03 10:39:52
GYM,2015-10-03 10:32:56,2015-10-03 10:58:59
Screen ,2015-10-03 10:32:53,2015-10-03 10:33:01
Screen ,2015-10-03 10:32:39,2015-10-03 10:32:52
Driving,2015-10-03 10:28:52,2015-10-03 10:32:41
Screen ,2015-10-03 10:28:51,2015-10-03 10:29:02
Screen ,2015-10-03 10:26:49,2015-10-03 10:26:57
Screen ,2015-10-03 10:21:37,2015-10-03 10:25:09
Screen ,2015-10-03 10:19:24,2015-10-03 10:19:46
Screen ,2015-10-03 10:14:21,2015-10-03 10:14:24
Screen ,2015-10-03 10:12:20,2015-10-03 10:12:22
Screen ,2015-10-03 10:10:40,2015-10-03 10:12:05
Screen ,2015-10-03 09:18:15,2015-10-03 10:00:58
Screen ,2015-10-03 09:09:48,2015-10-03 09:15:47
Screen ,2015-10-03 09:05:30,2015-10-03 09:07:10
Home ,2015-10-03 04:10:43,2015-10-03 10:29:47
Screen ,2015-10-03 03:35:45,2015-10-03 03:36:03
Screen ,2015-10-03 03:30:20,2015-10-03 03:30:41
Screen ,2015-10-03 03:23:06,2015-10-03 03:23:15
Home ,2015-10-03 03:22:28,2015-10-03 04:10:22
Screen ,2015-10-03 03:22:08,2015-10-03 03:22:57
Driving,2015-10-03 03:05:46,2015-10-03 03:21:24
Screen ,2015-10-03 02:44:38,2015-10-03 02:44:50
Screen ,2015-10-03 01:57:27,2015-10-03 01:57:31
Screen ,2015-10-03 01:25:19,2015-10-03 01:25:24
Screen ,2015-10-03 00:48:07,2015-10-03 00:48:12
Screen ,2015-10-03 00:33:44,2015-10-03 00:34:15
Screen ,2015-10-03 00:29:42,2015-10-03 00:29:53
Screen ,2015-10-03 00:15:41,2015-10-03 00:15:43
Screen ,2015-10-03 00:15:13,2015-10-03 00:15:38
Screen ,2015-10-02 23:14:28,2015-10-02 23:14:34
Screen ,2015-10-02 22:39:46,2015-10-02 22:40:26
Screen ,2015-10-02 22:21:56,2015-10-02 22:22:30
Screen ,2015-10-02 21:08:53,2015-10-02 21:09:28
Screen ,2015-10-02 21:07:05,2015-10-02 21:07:31
Driving,2015-10-02 21:06:05,2015-10-02 21:20:14
Screen ,2015-10-02 20:55:05,2015-10-02 20:56:21
Screen ,2015-10-02 20:53:21,2015-10-02 20:53:25
Screen ,2015-10-02 20:50:16,2015-10-02 20:51:00
Screen ,2015-10-02 20:49:48,2015-10-02 20:50:16
Screen ,2015-10-02 20:33:48,2015-10-02 20:33:50
